Bulan_Tahun,Curah_Hujan
2018-01,9.08
2018-02,9.74
2018-03,16.85
2018-04,13.89
2018-05,14.94
2018-06,7.84
2018-07,10.11
2018-08,8.11
2018-09,10.61
2018-10,21.3
2018-11,18.34
2018-12,10.34
2019-01,10.72
2019-02,11.48
2019-03,11.45
2019-04,8.33
2019-05,7.51
2019-06,10.08
2019-07,4.68
2019-08,10.28
2019-09,4.39
2019-10,16.07
2019-11,12.97
2019-12,16.58
2020-01,16.07
2020-02,10.7
2020-03,12.92
2020-04,17.31
2020-05,9.78
2020-06,7.37
2020-07,13.31
2020-08,5.91
2020-09,11.72
2020-10,11.48
2020-11,14.28
2020-12,10.72
2021-01,7.73
2021-02,4.08
2021-03,18.28
2021-04,11.31
2021-05,9.87
2021-06,11.46
2021-07,6.67
2021-08,11.23
2021-09,12.89
2021-10,7.32
2021-11,10.15
2021-12,19.52
2022-01,8.37
2022-02,8.23
2022-03,9.12
2022-04,8.75
2022-05,8.62
2022-06,16.75
2022-07,9.37
2022-08,13.45
2022-09,14.64
2022-10,16.3
2022-11,19.69
2022-12,15.17
2023-01,10.09
2023-02,6.68
2023-03,13.62
2023-04,11.38
2023-05,9.32
2023-06,5.38
2023-07,11.76
2023-08,13.19
2023-09,11.22
2023-10,9.62
2023-11,15.75
2023-12,12.75
2024-01,9.67
2024-02,8.89
2024-03,12.9
2024-04,16.4
2024-05,13.36
2024-06,15.8
2024-07,5.06
2024-08,19.89
2024-09,13.61
2024-10,11.98
2024-11,14.18
2024-12,9.68
2025-01,16.74
2025-02,6.96
2025-03,12.81
2025-04,10.07
2025-05,7.52
2025-06,4.09
2025-07,6.32
2025-08,9.43
2025-09,11.32
2025-10,8.79
2025-11,21.82
2025-12,13.18
