Bulan_Tahun,Curah_Hujan
2018-01,8.51
2018-02,9.14
2018-03,14.57
2018-04,12.59
2018-05,12.7
2018-06,7.46
2018-07,10.09
2018-08,7.86
2018-09,9.36
2018-10,20.39
2018-11,17.25
2018-12,9.65
2019-01,10.15
2019-02,9.82
2019-03,10.65
2019-04,7.62
2019-05,7.13
2019-06,9.95
2019-07,4.07
2019-08,9.66
2019-09,4.25
2019-10,15.1
2019-11,11.77
2019-12,14.81
2020-01,14.21
2020-02,8.71
2020-03,10.97
2020-04,15.06
2020-05,9.25
2020-06,7.64
2020-07,12.16
2020-08,5.63
2020-09,11.16
2020-10,11.21
2020-11,13.96
2020-12,10.42
2021-01,6.74
2021-02,3.11
2021-03,15.02
2021-04,10.97
2021-05,8.27
2021-06,10.78
2021-07,6.62
2021-08,10.6
2021-09,10.95
2021-10,6.83
2021-11,10.18
2021-12,17.71
2022-01,7.35
2022-02,7.27
2022-03,8.9
2022-04,8.11
2022-05,8.34
2022-06,15.71
2022-07,9.02
2022-08,12.95
2022-09,14.34
2022-10,15.65
2022-11,18.59
2022-12,14.97
2023-01,9.11
2023-02,6.0
2023-03,11.5
2023-04,9.75
2023-05,8.74
2023-06,4.86
2023-07,11.46
2023-08,12.56
2023-09,9.84
2023-10,9.38
2023-11,14.28
2023-12,10.95
2024-01,8.89
2024-02,8.12
2024-03,12.15
2024-04,14.41
2024-05,12.26
2024-06,14.77
2024-07,4.79
2024-08,17.38
2024-09,12.99
2024-10,10.8
2024-11,14.54
2024-12,9.37
2025-01,15.11
2025-02,7.14
2025-03,11.36
2025-04,9.76
2025-05,7.12
2025-06,3.86
2025-07,6.07
2025-08,8.89
2025-09,10.95
2025-10,8.33
2025-11,20.12
2025-12,12.26
