Bulan_Tahun,Curah_Hujan
2018-01,8.09
2018-02,7.47
2018-03,14.14
2018-04,14.56
2018-05,13.59
2018-06,6.92
2018-07,7.96
2018-08,6.71
2018-09,11.01
2018-10,20.05
2018-11,17.41
2018-12,9.12
2019-01,11.19
2019-02,11.97
2019-03,9.7
2019-04,6.96
2019-05,6.1
2019-06,9.82
2019-07,5.19
2019-08,7.3
2019-09,4.05
2019-10,12.28
2019-11,9.46
2019-12,15.98
2020-01,13.55
2020-02,12.11
2020-03,11.71
2020-04,15.28
2020-05,9.15
2020-06,6.16
2020-07,12.68
2020-08,5.7
2020-09,9.12
2020-10,11.41
2020-11,15.22
2020-12,8.71
2021-01,8.29
2021-02,4.67
2021-03,18.02
2021-04,8.57
2021-05,9.8
2021-06,8.64
2021-07,5.99
2021-08,10.25
2021-09,12.73
2021-10,8.16
2021-11,9.36
2021-12,17.13
2022-01,8.25
2022-02,8.35
2022-03,7.59
2022-04,7.83
2022-05,7.77
2022-06,14.14
2022-07,8.9
2022-08,11.73
2022-09,13.0
2022-10,15.14
2022-11,19.43
2022-12,13.36
2023-01,9.96
2023-02,7.08
2023-03,12.48
2023-04,10.84
2023-05,8.21
2023-06,5.12
2023-07,8.8
2023-08,10.33
2023-09,8.76
2023-10,7.12
2023-11,10.75
2023-12,10.63
2024-01,10.91
2024-02,7.41
2024-03,13.58
2024-04,14.67
2024-05,11.04
2024-06,12.98
2024-07,4.63
2024-08,20.22
2024-09,11.35
2024-10,9.0
2024-11,13.16
2024-12,9.9
2025-01,19.37
2025-02,7.28
2025-03,13.71
2025-04,8.76
2025-05,6.21
2025-06,4.42
2025-07,5.17
2025-08,9.06
2025-09,9.66
2025-10,7.34
2025-11,20.4
2025-12,11.88
