Bulan_Tahun,Curah_Hujan
2018-01,7.43
2018-02,7.45
2018-03,9.79
2018-04,9.38
2018-05,10.36
2018-06,6.09
2018-07,8.05
2018-08,6.7
2018-09,8.33
2018-10,13.48
2018-11,14.25
2018-12,7.53
2019-01,7.89
2019-02,8.11
2019-03,10.67
2019-04,7.09
2019-05,5.51
2019-06,7.67
2019-07,4.37
2019-08,5.07
2019-09,2.75
2019-10,3.05
2019-11,5.19
2019-12,7.92
2020-01,8.92
2020-02,5.84
2020-03,9.33
2020-04,9.47
2020-05,9.1
2020-06,5.56
2020-07,10.83
2020-08,4.5
2020-09,12.02
2020-10,11.35
2020-11,15.55
2020-12,9.63
2021-01,8.05
2021-02,3.5
2021-03,13.05
2021-04,8.04
2021-05,11.61
2021-06,6.78
2021-07,5.46
2021-08,11.62
2021-09,13.7
2021-10,7.53
2021-11,8.98
2021-12,13.2
2022-01,6.35
2022-02,8.69
2022-03,8.85
2022-04,8.04
2022-05,7.06
2022-06,10.18
2022-07,6.53
2022-08,10.48
2022-09,13.09
2022-10,17.57
2022-11,16.87
2022-12,12.94
2023-01,10.85
2023-02,7.0
2023-03,7.85
2023-04,7.21
2023-05,6.68
2023-06,7.74
2023-07,10.87
2023-08,12.25
2023-09,3.9
2023-10,3.32
2023-11,3.9
2023-12,5.41
2024-01,12.28
2024-02,8.06
2024-03,9.35
2024-04,11.1
2024-05,10.77
2024-06,8.79
2024-07,3.38
2024-08,12.51
2024-09,10.73
2024-10,11.36
2024-11,11.58
2024-12,10.6
2025-01,11.89
2025-02,7.86
2025-03,10.63
2025-04,9.18
2025-05,4.7
2025-06,5.22
2025-07,7.48
2025-08,9.03
2025-09,9.53
2025-10,6.61
2025-11,20.34
2025-12,13.3
