Bulan_Tahun,Curah_Hujan
2018-01,7.31
2018-02,7.06
2018-03,9.89
2018-04,10.33
2018-05,10.48
2018-06,5.24
2018-07,10.48
2018-08,8.47
2018-09,9.25
2018-10,24.39
2018-11,14.54
2018-12,6.92
2019-01,10.72
2019-02,6.76
2019-03,9.56
2019-04,7.91
2019-05,6.26
2019-06,10.86
2019-07,5.07
2019-08,3.2
2019-09,4.82
2019-10,5.58
2019-11,6.39
2019-12,11.3
2020-01,10.83
2020-02,7.5
2020-03,10.41
2020-04,9.25
2020-05,6.91
2020-06,11.62
2020-07,9.1
2020-08,4.85
2020-09,21.5
2020-10,13.9
2020-11,15.91
2020-12,12.19
2021-01,11.32
2021-02,3.48
2021-03,9.1
2021-04,6.29
2021-05,11.83
2021-06,4.96
2021-07,4.87
2021-08,12.38
2021-09,14.17
2021-10,9.92
2021-11,7.27
2021-12,7.44
2022-01,5.27
2022-02,7.85
2022-03,6.24
2022-04,5.92
2022-05,5.96
2022-06,9.49
2022-07,6.05
2022-08,9.47
2022-09,10.1
2022-10,16.34
2022-11,15.66
2022-12,11.79
2023-01,9.9
2023-02,5.49
2023-03,11.09
2023-04,6.09
2023-05,4.91
2023-06,4.96
2023-07,10.59
2023-08,10.09
2023-09,2.6
2023-10,3.33
2023-11,6.64
2023-12,5.37
2024-01,14.26
2024-02,14.25
2024-03,11.49
2024-04,15.2
2024-05,9.41
2024-06,8.54
2024-07,2.7
2024-08,12.29
2024-09,7.83
2024-10,19.21
2024-11,12.2
2024-12,10.12
2025-01,8.02
2025-02,6.27
2025-03,9.67
2025-04,7.85
2025-05,4.65
2025-06,5.33
2025-07,5.69
2025-08,8.52
2025-09,10.44
2025-10,9.19
2025-11,17.2
2025-12,13.3
