Bulan_Tahun,Curah_Hujan
2018-01,10.59
2018-02,5.04
2018-03,9.21
2018-04,12.41
2018-05,8.1
2018-06,6.44
2018-07,11.26
2018-08,9.94
2018-09,8.79
2018-10,18.29
2018-11,12.51
2018-12,6.59
2019-01,8.01
2019-02,5.71
2019-03,9.76
2019-04,7.95
2019-05,5.06
2019-06,10.84
2019-07,6.51
2019-08,3.13
2019-09,2.37
2019-10,2.47
2019-11,2.23
2019-12,7.85
2020-01,8.02
2020-02,5.42
2020-03,9.02
2020-04,7.64
2020-05,7.72
2020-06,6.47
2020-07,8.85
2020-08,6.94
2020-09,17.18
2020-10,13.02
2020-11,14.0
2020-12,12.57
2021-01,9.84
2021-02,4.5
2021-03,9.86
2021-04,6.34
2021-05,7.34
2021-06,5.5
2021-07,4.99
2021-08,12.22
2021-09,10.53
2021-10,9.41
2021-11,9.77
2021-12,8.25
2022-01,5.82
2022-02,8.02
2022-03,7.25
2022-04,6.44
2022-05,7.05
2022-06,9.14
2022-07,6.67
2022-08,8.74
2022-09,11.03
2022-10,19.17
2022-11,16.25
2022-12,14.8
2023-01,12.2
2023-02,7.04
2023-03,6.79
2023-04,4.4
2023-05,5.5
2023-06,6.42
2023-07,12.55
2023-08,9.54
2023-09,2.18
2023-10,1.82
2023-11,2.97
2023-12,3.95
2024-01,10.18
2024-02,8.92
2024-03,8.93
2024-04,9.16
2024-05,7.12
2024-06,8.19
2024-07,3.32
2024-08,14.65
2024-09,8.73
2024-10,16.31
2024-11,12.96
2024-12,11.28
2025-01,8.98
2025-02,6.8
2025-03,7.67
2025-04,8.53
2025-05,4.96
2025-06,5.9
2025-07,6.01
2025-08,7.42
2025-09,11.54
2025-10,6.65
2025-11,15.61
2025-12,13.02
