Bulan_Tahun,Curah_Hujan
2018-01,6.6
2018-02,8.93
2018-03,14.39
2018-04,11.84
2018-05,14.53
2018-06,6.67
2018-07,6.32
2018-08,5.67
2018-09,12.54
2018-10,18.25
2018-11,17.09
2018-12,9.38
2019-01,13.3
2019-02,14.3
2019-03,11.41
2019-04,7.83
2019-05,6.86
2019-06,7.76
2019-07,5.36
2019-08,6.37
2019-09,3.92
2019-10,8.04
2019-11,8.12
2019-12,15.82
2020-01,11.75
2020-02,12.07
2020-03,13.36
2020-04,15.14
2020-05,10.01
2020-06,6.82
2020-07,13.76
2020-08,5.66
2020-09,10.23
2020-10,10.46
2020-11,16.45
2020-12,8.71
2021-01,9.68
2021-02,5.09
2021-03,21.13
2021-04,10.11
2021-05,13.46
2021-06,8.69
2021-07,5.11
2021-08,12.73
2021-09,18.71
2021-10,9.75
2021-11,9.13
2021-12,16.37
2022-01,9.48
2022-02,10.99
2022-03,7.47
2022-04,9.96
2022-05,6.99
2022-06,13.76
2022-07,7.05
2022-08,13.31
2022-09,12.54
2022-10,17.33
2022-11,18.64
2022-12,13.05
2023-01,10.89
2023-02,8.8
2023-03,13.06
2023-04,11.64
2023-05,8.07
2023-06,6.62
2023-07,8.24
2023-08,13.89
2023-09,8.6
2023-10,6.5
2023-11,7.83
2023-12,12.56
2024-01,14.72
2024-02,9.6
2024-03,13.86
2024-04,17.63
2024-05,14.02
2024-06,12.09
2024-07,4.7
2024-08,20.85
2024-09,11.0
2024-10,11.8
2024-11,12.36
2024-12,10.54
2025-01,20.65
2025-02,7.88
2025-03,17.01
2025-04,9.54
2025-05,6.04
2025-06,5.43
2025-07,5.72
2025-08,9.58
2025-09,9.49
2025-10,6.96
2025-11,22.24
2025-12,15.57
