Bulan_Tahun,Curah_Hujan
2018-01,3.53
2018-02,10.1
2018-03,10.62
2018-04,7.17
2018-05,10.23
2018-06,3.64
2018-07,4.58
2018-08,4.59
2018-09,4.24
2018-10,11.3
2018-11,12.44
2018-12,9.28
2019-01,9.78
2019-02,10.77
2019-03,7.96
2019-04,7.72
2019-05,5.3
2019-06,6.91
2019-07,3.79
2019-08,2.79
2019-09,6.84
2019-10,4.81
2019-11,6.24
2019-12,13.48
2020-01,9.21
2020-02,7.39
2020-03,10.73
2020-04,9.69
2020-05,8.27
2020-06,8.15
2020-07,5.35
2020-08,3.64
2020-09,10.32
2020-10,9.43
2020-11,11.98
2020-12,5.62
2021-01,13.64
2021-02,3.84
2021-03,12.03
2021-04,5.82
2021-05,12.67
2021-06,6.49
2021-07,3.22
2021-08,8.18
2021-09,9.99
2021-10,6.46
2021-11,4.52
2021-12,10.5
2022-01,5.84
2022-02,6.68
2022-03,4.49
2022-04,5.64
2022-05,4.38
2022-06,9.26
2022-07,4.9
2022-08,9.28
2022-09,8.37
2022-10,10.88
2022-11,10.87
2022-12,5.81
2023-01,6.48
2023-02,4.55
2023-03,11.38
2023-04,7.3
2023-05,5.22
2023-06,6.78
2023-07,6.43
2023-08,8.16
2023-09,1.6
2023-10,2.77
2023-11,10.79
2023-12,12.06
2024-01,13.18
2024-02,10.35
2024-03,7.53
2024-04,15.16
2024-05,12.8
2024-06,9.55
2024-07,3.58
2024-08,5.91
2024-09,6.57
2024-10,10.04
2024-11,10.75
2024-12,4.8
2025-01,8.73
2025-02,6.84
2025-03,12.51
2025-04,9.03
2025-05,6.43
2025-06,4.48
2025-07,6.19
2025-08,9.05
2025-09,9.08
2025-10,6.72
2025-11,18.24
2025-12,13.37
