Bulan_Tahun,Curah_Hujan
2018-01,4.51
2018-02,11.6
2018-03,11.82
2018-04,8.0
2018-05,12.14
2018-06,7.18
2018-07,5.27
2018-08,5.22
2018-09,9.11
2018-10,16.82
2018-11,15.55
2018-12,10.79
2019-01,10.67
2019-02,11.01
2019-03,11.28
2019-04,7.69
2019-05,6.47
2019-06,7.61
2019-07,3.78
2019-08,5.03
2019-09,3.52
2019-10,5.5
2019-11,9.68
2019-12,10.52
2020-01,9.67
2020-02,6.84
2020-03,9.39
2020-04,12.64
2020-05,9.97
2020-06,7.28
2020-07,13.2
2020-08,5.68
2020-09,11.75
2020-10,10.16
2020-11,17.9
2020-12,9.47
2021-01,9.45
2021-02,3.36
2021-03,18.22
2021-04,10.9
2021-05,15.1
2021-06,8.48
2021-07,5.16
2021-08,12.73
2021-09,19.39
2021-10,9.31
2021-11,9.31
2021-12,16.44
2022-01,7.66
2022-02,12.92
2022-03,9.52
2022-04,13.44
2022-05,7.06
2022-06,13.9
2022-07,7.34
2022-08,12.54
2022-09,15.12
2022-10,17.92
2022-11,17.78
2022-12,12.4
2023-01,10.42
2023-02,8.26
2023-03,10.77
2023-04,10.18
2023-05,8.21
2023-06,9.47
2023-07,9.85
2023-08,15.08
2023-09,6.4
2023-10,5.11
2023-11,7.78
2023-12,12.33
2024-01,14.54
2024-02,11.25
2024-03,10.87
2024-04,15.43
2024-05,16.32
2024-06,11.74
2024-07,3.87
2024-08,14.77
2024-09,9.3
2024-10,13.96
2024-11,13.13
2024-12,10.76
2025-01,17.02
2025-02,10.08
2025-03,14.49
2025-04,10.63
2025-05,6.06
2025-06,5.44
2025-07,6.77
2025-08,9.61
2025-09,8.87
2025-10,5.27
2025-11,21.48
2025-12,16.6
