Bulan_Tahun,Curah_Hujan
2018-01,10.69
2018-02,4.77
2018-03,8.52
2018-04,10.92
2018-05,7.5
2018-06,6.6
2018-07,9.47
2018-08,9.72
2018-09,7.08
2018-10,14.62
2018-11,12.2
2018-12,6.1
2019-01,7.52
2019-02,4.97
2019-03,9.59
2019-04,8.07
2019-05,4.8
2019-06,9.9
2019-07,7.75
2019-08,3.34
2019-09,2.15
2019-10,1.72
2019-11,1.35
2019-12,5.96
2020-01,8.37
2020-02,4.72
2020-03,8.18
2020-04,7.57
2020-05,8.02
2020-06,5.37
2020-07,8.45
2020-08,7.94
2020-09,16.89
2020-10,13.25
2020-11,12.83
2020-12,12.07
2021-01,10.34
2021-02,5.13
2021-03,9.52
2021-04,6.19
2021-05,7.03
2021-06,5.69
2021-07,4.87
2021-08,10.55
2021-09,9.07
2021-10,7.9
2021-11,10.27
2021-12,8.9
2022-01,5.51
2022-02,7.31
2022-03,8.03
2022-04,6.43
2022-05,7.17
2022-06,7.94
2022-07,6.19
2022-08,7.81
2022-09,9.84
2022-10,18.76
2022-11,16.45
2022-12,14.53
2023-01,12.82
2023-02,7.24
2023-03,5.99
2023-04,4.12
2023-05,5.72
2023-06,7.08
2023-07,12.43
2023-08,8.51
2023-09,1.9
2023-10,1.54
2023-11,2.36
2023-12,3.83
2024-01,9.29
2024-02,6.81
2024-03,8.11
2024-04,8.11
2024-05,7.3
2024-06,8.06
2024-07,3.48
2024-08,14.66
2024-09,8.41
2024-10,13.06
2024-11,13.44
2024-12,10.91
2025-01,9.23
2025-02,6.67
2025-03,6.95
2025-04,8.2
2025-05,5.13
2025-06,5.87
2025-07,5.83
2025-08,7.05
2025-09,12.46
2025-10,6.63
2025-11,15.05
2025-12,12.17
