Bulan_Tahun,Curah_Hujan
2018-01,8.95
2018-02,6.46
2018-03,9.73
2018-04,11.1
2018-05,10.26
2018-06,6.38
2018-07,9.63
2018-08,8.06
2018-09,8.0
2018-10,15.37
2018-11,12.93
2018-12,7.15
2019-01,8.03
2019-02,6.62
2019-03,10.79
2019-04,7.35
2019-05,5.19
2019-06,9.02
2019-07,4.9
2019-08,4.14
2019-09,2.82
2019-10,3.32
2019-11,3.79
2019-12,7.84
2020-01,8.92
2020-02,5.38
2020-03,10.07
2020-04,9.13
2020-05,8.55
2020-06,6.08
2020-07,9.48
2020-08,5.02
2020-09,16.1
2020-10,12.64
2020-11,15.07
2020-12,10.73
2021-01,8.81
2021-02,3.76
2021-03,11.78
2021-04,7.6
2021-05,9.88
2021-06,5.85
2021-07,5.27
2021-08,11.25
2021-09,12.0
2021-10,7.76
2021-11,9.4
2021-12,10.21
2022-01,5.97
2022-02,8.66
2022-03,8.59
2022-04,7.18
2022-05,7.2
2022-06,9.32
2022-07,6.51
2022-08,9.26
2022-09,12.79
2022-10,18.48
2022-11,16.06
2022-12,13.51
2023-01,11.49
2023-02,6.52
2023-03,7.58
2023-04,5.73
2023-05,6.39
2023-06,6.9
2023-07,11.57
2023-08,11.33
2023-09,2.72
2023-10,2.82
2023-11,4.45
2023-12,4.6
2024-01,11.28
2024-02,8.44
2024-03,8.93
2024-04,10.34
2024-05,9.13
2024-06,8.44
2024-07,2.97
2024-08,12.88
2024-09,9.4
2024-10,15.85
2024-11,11.79
2024-12,10.36
2025-01,9.26
2025-02,7.17
2025-03,9.12
2025-04,9.5
2025-05,4.89
2025-06,5.59
2025-07,6.68
2025-08,8.24
2025-09,10.11
2025-10,6.36
2025-11,17.35
2025-12,12.62
