Bulan_Tahun,Curah_Hujan
2018-01,3.51
2018-02,9.63
2018-03,10.89
2018-04,6.7
2018-05,9.39
2018-06,2.84
2018-07,5.03
2018-08,5.22
2018-09,3.41
2018-10,10.03
2018-11,11.59
2018-12,9.76
2019-01,9.55
2019-02,9.91
2019-03,6.93
2019-04,8.12
2019-05,5.07
2019-06,6.46
2019-07,4.1
2019-08,2.46
2019-09,7.77
2019-10,4.23
2019-11,5.4
2019-12,14.47
2020-01,9.69
2020-02,8.0
2020-03,10.85
2020-04,8.86
2020-05,7.74
2020-06,8.61
2020-07,3.51
2020-08,3.09
2020-09,9.61
2020-10,9.62
2020-11,10.26
2020-12,4.88
2021-01,15.89
2021-02,4.57
2021-03,10.78
2021-04,4.72
2021-05,11.55
2021-06,5.73
2021-07,3.02
2021-08,7.37
2021-09,8.14
2021-10,6.2
2021-11,3.15
2021-12,9.82
2022-01,5.7
2022-02,4.58
2022-03,3.0
2022-04,4.18
2022-05,4.4
2022-06,7.93
2022-07,4.65
2022-08,9.08
2022-09,7.01
2022-10,10.06
2022-11,9.92
2022-12,4.47
2023-01,5.21
2023-02,3.68
2023-03,11.97
2023-04,6.34
2023-05,3.9
2023-06,5.16
2023-07,5.3
2023-08,6.0
2023-09,0.78
2023-10,2.57
2023-11,10.56
2023-12,11.75
2024-01,12.61
2024-02,9.03
2024-03,8.68
2024-04,13.23
2024-05,9.74
2024-06,8.48
2024-07,4.06
2024-08,3.46
2024-09,4.99
2024-10,8.1
2024-11,10.01
2024-12,4.3
2025-01,6.63
2025-02,5.87
2025-03,11.41
2025-04,7.92
2025-05,5.34
2025-06,4.52
2025-07,6.09
2025-08,11.54
2025-09,11.11
2025-10,8.69
2025-11,18.04
2025-12,12.86
