Bulan_Tahun,Curah_Hujan
2018-01,3.43
2018-02,7.52
2018-03,9.23
2018-04,5.83
2018-05,8.04
2018-06,7.93
2018-07,4.01
2018-08,4.12
2018-09,4.5
2018-10,14.67
2018-11,13.22
2018-12,12.57
2019-01,7.82
2019-02,6.53
2019-03,6.33
2019-04,8.11
2019-05,5.05
2019-06,7.93
2019-07,3.1
2019-08,2.4
2019-09,2.83
2019-10,6.29
2019-11,8.55
2019-12,6.32
2020-01,6.15
2020-02,2.48
2020-03,4.9
2020-04,13.2
2020-05,8.55
2020-06,6.0
2020-07,6.81
2020-08,5.61
2020-09,9.08
2020-10,8.6
2020-11,13.66
2020-12,6.34
2021-01,9.56
2021-02,3.21
2021-03,11.95
2021-04,11.57
2021-05,10.13
2021-06,7.89
2021-07,3.69
2021-08,8.93
2021-09,11.14
2021-10,11.33
2021-11,9.25
2021-12,9.07
2022-01,7.94
2022-02,11.04
2022-03,8.44
2022-04,13.79
2022-05,7.08
2022-06,11.11
2022-07,6.97
2022-08,8.21
2022-09,7.95
2022-10,14.47
2022-11,10.3
2022-12,11.14
2023-01,7.61
2023-02,7.37
2023-03,8.48
2023-04,8.63
2023-05,7.62
2023-06,8.7
2023-07,5.73
2023-08,9.36
2023-09,5.27
2023-10,4.2
2023-11,10.69
2023-12,13.72
2024-01,12.66
2024-02,12.04
2024-03,6.71
2024-04,10.96
2024-05,13.02
2024-06,10.43
2024-07,2.61
2024-08,7.16
2024-09,5.38
2024-10,9.23
2024-11,10.78
2024-12,7.46
2025-01,13.73
2025-02,11.04
2025-03,9.39
2025-04,11.53
2025-05,7.38
2025-06,5.29
2025-07,3.84
2025-08,6.08
2025-09,8.81
2025-10,5.24
2025-11,9.09
2025-12,15.63
