Bulan_Tahun,Curah_Hujan
2018-01,7.51
2018-02,5.29
2018-03,8.78
2018-04,8.63
2018-05,10.07
2018-06,5.76
2018-07,8.51
2018-08,5.83
2018-09,8.36
2018-10,14.0
2018-11,13.25
2018-12,6.73
2019-01,7.78
2019-02,7.11
2019-03,7.75
2019-04,6.51
2019-05,4.84
2019-06,8.34
2019-07,4.75
2019-08,5.0
2019-09,2.5
2019-10,4.38
2019-11,3.99
2019-12,8.85
2020-01,8.38
2020-02,6.19
2020-03,10.02
2020-04,9.56
2020-05,8.76
2020-06,4.67
2020-07,9.58
2020-08,3.63
2020-09,8.85
2020-10,10.99
2020-11,12.77
2020-12,8.27
2021-01,7.29
2021-02,3.71
2021-03,10.61
2021-04,7.46
2021-05,8.8
2021-06,6.35
2021-07,5.05
2021-08,10.23
2021-09,10.11
2021-10,9.08
2021-11,8.86
2021-12,10.2
2022-01,7.12
2022-02,8.04
2022-03,7.08
2022-04,6.73
2022-05,6.83
2022-06,9.16
2022-07,6.39
2022-08,10.09
2022-09,9.14
2022-10,15.87
2022-11,13.81
2022-12,13.05
2023-01,9.59
2023-02,6.45
2023-03,7.66
2023-04,6.48
2023-05,6.3
2023-06,5.31
2023-07,6.15
2023-08,10.25
2023-09,4.2
2023-10,3.42
2023-11,4.52
2023-12,5.45
2024-01,12.46
2024-02,7.3
2024-03,10.4
2024-04,9.28
2024-05,8.41
2024-06,8.07
2024-07,3.45
2024-08,12.66
2024-09,10.61
2024-10,6.78
2024-11,9.83
2024-12,9.25
2025-01,12.82
2025-02,7.42
2025-03,10.78
2025-04,8.09
2025-05,4.59
2025-06,4.57
2025-07,5.55
2025-08,8.55
2025-09,8.15
2025-10,7.86
2025-11,16.76
2025-12,11.56
