Bulan_Tahun,Curah_Hujan
2018-01,4.68
2018-02,8.79
2018-03,10.3
2018-04,8.86
2018-05,12.3
2018-06,4.21
2018-07,8.76
2018-08,6.35
2018-09,6.31
2018-10,21.94
2018-11,15.16
2018-12,7.93
2019-01,12.69
2019-02,9.04
2019-03,9.49
2019-04,7.81
2019-05,6.67
2019-06,9.5
2019-07,5.03
2019-08,3.34
2019-09,7.72
2019-10,6.79
2019-11,9.05
2019-12,15.54
2020-01,13.48
2020-02,9.23
2020-03,10.41
2020-04,10.51
2020-05,6.98
2020-06,14.99
2020-07,8.38
2020-08,3.68
2020-09,19.92
2020-10,13.11
2020-11,15.14
2020-12,9.65
2021-01,13.91
2021-02,3.51
2021-03,10.1
2021-04,6.03
2021-05,16.21
2021-06,5.2
2021-07,3.67
2021-08,10.91
2021-09,13.91
2021-10,8.68
2021-11,4.66
2021-12,8.2
2022-01,5.29
2022-02,6.54
2022-03,4.59
2022-04,5.16
2022-05,4.97
2022-06,8.95
2022-07,4.97
2022-08,9.76
2022-09,9.0
2022-10,13.73
2022-11,14.62
2022-12,8.02
2023-01,7.67
2023-02,4.29
2023-03,14.76
2023-04,8.27
2023-05,4.29
2023-06,4.67
2023-07,9.15
2023-08,8.53
2023-09,2.31
2023-10,4.02
2023-11,9.85
2023-12,8.76
2024-01,16.38
2024-02,14.48
2024-03,12.79
2024-04,19.72
2024-05,14.03
2024-06,9.89
2024-07,3.15
2024-08,8.56
2024-09,6.76
2024-10,16.3
2024-11,11.57
2024-12,7.72
2025-01,7.93
2025-02,6.01
2025-03,12.19
2025-04,7.88
2025-05,5.06
2025-06,4.77
2025-07,5.92
2025-08,10.05
2025-09,10.58
2025-10,9.92
2025-11,19.65
2025-12,13.33
