Bulan_Tahun,Curah_Hujan
2018-01,4.19
2018-02,11.18
2018-03,11.38
2018-04,7.38
2018-05,10.96
2018-06,7.9
2018-07,5.22
2018-08,5.33
2018-09,7.54
2018-10,16.75
2018-11,14.43
2018-12,12.53
2019-01,9.05
2019-02,8.79
2019-03,9.38
2019-04,8.13
2019-05,6.19
2019-06,8.61
2019-07,3.26
2019-08,4.3
2019-09,2.98
2019-10,6.26
2019-11,10.47
2019-12,8.89
2020-01,8.35
2020-02,4.9
2020-03,7.39
2020-04,12.42
2020-05,9.43
2020-06,7.12
2020-07,10.77
2020-08,5.93
2020-09,10.67
2020-10,9.63
2020-11,16.24
2020-12,8.06
2021-01,9.51
2021-02,3.19
2021-03,16.2
2021-04,11.79
2021-05,13.3
2021-06,8.11
2021-07,4.82
2021-08,11.05
2021-09,16.71
2021-10,10.26
2021-11,9.28
2021-12,14.12
2022-01,7.85
2022-02,12.33
2022-03,9.09
2022-04,14.37
2022-05,7.75
2022-06,12.68
2022-07,7.76
2022-08,10.84
2022-09,12.32
2022-10,17.11
2022-11,14.83
2022-12,12.16
2023-01,8.94
2023-02,7.6
2023-03,10.14
2023-04,8.94
2023-05,7.71
2023-06,8.95
2023-07,8.18
2023-08,12.5
2023-09,6.54
2023-10,5.23
2023-11,9.62
2023-12,13.45
2024-01,13.73
2024-02,11.13
2024-03,9.33
2024-04,13.49
2024-05,15.39
2024-06,11.87
2024-07,3.55
2024-08,11.55
2024-09,7.47
2024-10,11.85
2024-11,12.97
2024-12,9.91
2025-01,15.79
2025-02,10.59
2025-03,11.59
2025-04,11.34
2025-05,6.3
2025-06,5.67
2025-07,5.69
2025-08,8.76
2025-09,8.89
2025-10,5.09
2025-11,16.88
2025-12,16.72
