Bulan_Tahun,Curah_Hujan
2018-01,7.52
2018-02,6.78
2018-03,9.96
2018-04,9.2
2018-05,10.49
2018-06,5.98
2018-07,7.91
2018-08,6.23
2018-09,9.49
2018-10,15.31
2018-11,14.98
2018-12,7.87
2019-01,8.6
2019-02,8.84
2019-03,9.15
2019-04,6.49
2019-05,4.97
2019-06,8.64
2019-07,4.68
2019-08,4.94
2019-09,2.76
2019-10,4.56
2019-11,5.33
2019-12,10.18
2020-01,9.08
2020-02,7.31
2020-03,9.67
2020-04,10.25
2020-05,9.31
2020-06,5.05
2020-07,10.68
2020-08,4.07
2020-09,8.33
2020-10,11.22
2020-11,14.4
2020-12,9.06
2021-01,8.1
2021-02,3.69
2021-03,12.8
2021-04,7.86
2021-05,10.86
2021-06,7.06
2021-07,5.36
2021-08,10.99
2021-09,12.67
2021-10,8.7
2021-11,9.03
2021-12,13.45
2022-01,7.33
2022-02,8.95
2022-03,8.03
2022-04,7.78
2022-05,7.06
2022-06,10.66
2022-07,7.36
2022-08,10.0
2022-09,11.4
2022-10,16.22
2022-11,17.46
2022-12,13.46
2023-01,11.03
2023-02,7.46
2023-03,8.68
2023-04,7.8
2023-05,7.0
2023-06,6.26
2023-07,7.24
2023-08,10.34
2023-09,4.55
2023-10,3.85
2023-11,4.77
2023-12,6.33
2024-01,13.08
2024-02,7.72
2024-03,11.11
2024-04,10.82
2024-05,10.03
2024-06,9.4
2024-07,3.76
2024-08,14.58
2024-09,9.79
2024-10,8.61
2024-11,11.05
2024-12,10.97
2025-01,15.25
2025-02,7.86
2025-03,12.31
2025-04,8.68
2025-05,4.77
2025-06,4.88
2025-07,6.03
2025-08,8.84
2025-09,8.07
2025-10,6.85
2025-11,20.48
2025-12,12.82
