Bulan_Tahun,Curah_Hujan
2018-01,3.74
2018-02,9.97
2018-03,10.11
2018-04,7.11
2018-05,10.18
2018-06,5.0
2018-07,4.22
2018-08,4.31
2018-09,5.16
2018-10,12.6
2018-11,13.83
2018-12,8.98
2019-01,9.85
2019-02,10.92
2019-03,8.81
2019-04,7.48
2019-05,5.26
2019-06,6.82
2019-07,3.79
2019-08,3.21
2019-09,5.47
2019-10,5.09
2019-11,6.61
2019-12,11.06
2020-01,8.77
2020-02,6.32
2020-03,9.82
2020-04,11.52
2020-05,8.94
2020-06,7.22
2020-07,7.69
2020-08,4.27
2020-09,10.91
2020-10,9.41
2020-11,14.54
2020-12,7.37
2021-01,11.24
2021-02,3.41
2021-03,13.16
2021-04,7.4
2021-05,13.24
2021-06,7.64
2021-07,3.72
2021-08,9.59
2021-09,11.96
2021-10,7.71
2021-11,6.79
2021-12,11.6
2022-01,6.14
2022-02,9.59
2022-03,6.88
2022-04,8.46
2022-05,4.82
2022-06,11.63
2022-07,5.55
2022-08,9.99
2022-09,10.62
2022-10,12.72
2022-11,12.89
2022-12,8.45
2023-01,8.43
2023-02,6.27
2023-03,10.15
2023-04,9.05
2023-05,7.05
2023-06,8.69
2023-07,7.85
2023-08,10.52
2023-09,2.58
2023-10,2.96
2023-11,9.76
2023-12,11.54
2024-01,13.29
2024-02,12.02
2024-03,7.65
2024-04,15.34
2024-05,14.6
2024-06,10.18
2024-07,3.19
2024-08,8.59
2024-09,8.18
2024-10,11.67
2024-11,11.07
2024-12,6.48
2025-01,11.7
2025-02,8.53
2025-03,13.46
2025-04,9.85
2025-05,7.23
2025-06,4.3
2025-07,6.16
2025-08,7.81
2025-09,8.41
2025-10,5.72
2025-11,17.83
2025-12,13.84
