Bulan_Tahun,Curah_Hujan
2018-01,7.44
2018-02,7.05
2018-03,12.49
2018-04,12.86
2018-05,11.64
2018-06,6.33
2018-07,7.77
2018-08,6.43
2018-09,9.67
2018-10,19.76
2018-11,15.51
2018-12,8.51
2019-01,9.87
2019-02,9.78
2019-03,8.73
2019-04,6.49
2019-05,5.48
2019-06,9.67
2019-07,4.73
2019-08,6.61
2019-09,3.82
2019-10,11.12
2019-11,8.56
2019-12,13.71
2020-01,12.42
2020-02,10.19
2020-03,10.38
2020-04,13.73
2020-05,8.58
2020-06,6.06
2020-07,11.92
2020-08,5.54
2020-09,8.62
2020-10,11.11
2020-11,14.78
2020-12,8.52
2021-01,7.64
2021-02,4.0
2021-03,15.48
2021-04,7.94
2021-05,8.87
2021-06,7.98
2021-07,5.69
2021-08,9.49
2021-09,10.69
2021-10,7.57
2021-11,9.17
2021-12,16.04
2022-01,7.31
2022-02,7.88
2022-03,7.36
2022-04,7.14
2022-05,7.27
2022-06,13.38
2022-07,8.77
2022-08,10.7
2022-09,12.47
2022-10,14.23
2022-11,18.06
2022-12,12.82
2023-01,9.71
2023-02,6.57
2023-03,11.11
2023-04,9.37
2023-05,7.49
2023-06,4.77
2023-07,8.33
2023-08,9.61
2023-09,7.55
2023-10,6.22
2023-11,9.91
2023-12,8.87
2024-01,10.42
2024-02,6.75
2024-03,12.75
2024-04,13.24
2024-05,10.21
2024-06,11.49
2024-07,4.22
2024-08,17.84
2024-09,10.22
2024-10,7.97
2024-11,13.36
2024-12,9.22
2025-01,17.09
2025-02,7.33
2025-03,11.68
2025-04,8.21
2025-05,5.63
2025-06,4.08
2025-07,4.93
2025-08,8.3
2025-09,9.02
2025-10,6.57
2025-11,19.24
2025-12,10.86
