Bulan_Tahun,Curah_Hujan
2018-01,6.86
2018-02,6.16
2018-03,9.11
2018-04,11.29
2018-05,14.71
2018-06,5.45
2018-07,7.93
2018-08,6.49
2018-09,8.62
2018-10,20.76
2018-11,14.36
2018-12,6.55
2019-01,10.17
2019-02,8.43
2019-03,10.53
2019-04,7.08
2019-05,6.79
2019-06,11.02
2019-07,4.3
2019-08,3.76
2019-09,4.03
2019-10,6.19
2019-11,6.79
2019-12,11.1
2020-01,11.64
2020-02,6.88
2020-03,12.64
2020-04,10.07
2020-05,7.6
2020-06,9.58
2020-07,9.51
2020-08,4.34
2020-09,20.71
2020-10,12.21
2020-11,16.29
2020-12,9.95
2021-01,8.91
2021-02,2.89
2021-03,10.38
2021-04,7.2
2021-05,14.67
2021-06,5.45
2021-07,4.6
2021-08,10.88
2021-09,14.71
2021-10,8.54
2021-11,7.74
2021-12,7.47
2022-01,5.4
2022-02,9.31
2022-03,7.3
2022-04,5.94
2022-05,5.93
2022-06,9.9
2022-07,5.56
2022-08,10.44
2022-09,9.97
2022-10,15.35
2022-11,14.8
2022-12,11.57
2023-01,10.09
2023-02,4.9
2023-03,10.72
2023-04,6.56
2023-05,5.43
2023-06,6.07
2023-07,9.58
2023-08,12.42
2023-09,3.26
2023-10,3.82
2023-11,8.89
2023-12,5.49
2024-01,15.44
2024-02,12.87
2024-03,10.72
2024-04,17.07
2024-05,11.86
2024-06,9.27
2024-07,2.35
2024-08,13.68
2024-09,9.23
2024-10,17.89
2024-11,11.65
2024-12,8.93
2025-01,8.92
2025-02,6.62
2025-03,10.65
2025-04,8.58
2025-05,5.31
2025-06,5.43
2025-07,5.64
2025-08,8.16
2025-09,8.98
2025-10,8.25
2025-11,16.39
2025-12,12.12
