Bulan_Tahun,Curah_Hujan
2018-01,3.7
2018-02,9.19
2018-03,9.46
2018-04,6.55
2018-05,9.26
2018-06,6.29
2018-07,4.16
2018-08,4.27
2018-09,5.46
2018-10,13.62
2018-11,14.69
2018-12,9.24
2019-01,9.6
2019-02,9.91
2019-03,8.83
2019-04,7.32
2019-05,5.13
2019-06,6.3
2019-07,3.71
2019-08,3.35
2019-09,4.31
2019-10,5.32
2019-11,6.99
2019-12,8.53
2020-01,8.42
2020-02,4.91
2020-03,7.99
2020-04,13.0
2020-05,9.3
2020-06,6.22
2020-07,9.15
2020-08,4.81
2020-09,10.76
2020-10,9.54
2020-11,15.69
2020-12,8.66
2021-01,9.62
2021-02,3.12
2021-03,13.23
2021-04,9.0
2021-05,12.71
2021-06,8.41
2021-07,4.12
2021-08,10.49
2021-09,12.99
2021-10,8.92
2021-11,8.53
2021-12,12.19
2022-01,6.51
2022-02,11.37
2022-03,8.86
2022-04,11.29
2022-05,5.37
2022-06,12.9
2022-07,6.09
2022-08,10.19
2022-09,12.09
2022-10,14.31
2022-11,14.2
2022-12,10.55
2023-01,9.55
2023-02,7.63
2023-03,9.05
2023-04,10.25
2023-05,8.38
2023-06,9.86
2023-07,8.5
2023-08,11.79
2023-09,3.49
2023-10,3.22
2023-11,8.83
2023-12,11.29
2024-01,12.94
2024-02,12.75
2024-03,7.76
2024-04,13.7
2024-05,14.58
2024-06,10.2
2024-07,2.92
2024-08,9.82
2024-09,8.5
2024-10,12.29
2024-11,10.92
2024-12,7.78
2025-01,13.6
2025-02,9.99
2025-03,13.25
2025-04,10.27
2025-05,7.47
2025-06,4.18
2025-07,5.83
2025-08,7.08
2025-09,8.48
2025-10,5.41
2025-11,16.06
2025-12,14.17
