Bulan_Tahun,Curah_Hujan
2018-01,5.5
2018-02,8.68
2018-03,11.04
2018-04,10.95
2018-05,16.94
2018-06,5.65
2018-07,5.22
2018-08,4.39
2018-09,8.72
2018-10,18.6
2018-11,15.98
2018-12,8.16
2019-01,12.03
2019-02,13.89
2019-03,12.47
2019-04,7.39
2019-05,7.21
2019-06,10.94
2019-07,4.4
2019-08,4.54
2019-09,5.0
2019-10,6.33
2019-11,9.32
2019-12,14.21
2020-01,11.27
2020-02,8.69
2020-03,13.36
2020-04,12.17
2020-05,8.83
2020-06,11.16
2020-07,11.99
2020-08,4.82
2020-09,18.06
2020-10,9.9
2020-11,20.27
2020-12,8.6
2021-01,9.94
2021-02,2.79
2021-03,17.03
2021-04,8.05
2021-05,19.93
2021-06,7.55
2021-07,4.25
2021-08,12.06
2021-09,17.78
2021-10,9.12
2021-11,7.84
2021-12,11.94
2022-01,6.37
2022-02,12.08
2022-03,7.58
2022-04,7.71
2022-05,5.76
2022-06,13.99
2022-07,6.18
2022-08,12.86
2022-09,11.9
2022-10,15.23
2022-11,16.06
2022-12,10.71
2023-01,10.57
2023-02,5.89
2023-03,12.44
2023-04,9.69
2023-05,6.5
2023-06,9.0
2023-07,10.17
2023-08,15.15
2023-09,4.26
2023-10,4.26
2023-11,10.63
2023-12,9.95
2024-01,18.05
2024-02,15.33
2024-03,11.56
2024-04,24.81
2024-05,20.21
2024-06,12.04
2024-07,3.04
2024-08,15.16
2024-09,10.06
2024-10,16.64
2024-11,13.67
2024-12,9.17
2025-01,14.67
2025-02,8.46
2025-03,15.49
2025-04,10.1
2025-05,6.87
2025-06,5.75
2025-07,6.55
2025-08,10.13
2025-09,8.81
2025-10,7.14
2025-11,22.26
2025-12,14.44
