Bulan_Tahun,Curah_Hujan
2018-01,7.78
2018-02,5.99
2018-03,9.0
2018-04,8.88
2018-05,10.74
2018-06,5.96
2018-07,9.06
2018-08,6.69
2018-09,7.66
2018-10,13.83
2018-11,12.71
2018-12,6.72
2019-01,7.31
2019-02,6.46
2019-03,9.09
2019-04,6.81
2019-05,5.08
2019-06,7.9
2019-07,4.42
2019-08,4.97
2019-09,2.59
2019-10,3.6
2019-11,3.94
2019-12,7.42
2020-01,8.87
2020-02,5.12
2020-03,10.8
2020-04,9.21
2020-05,8.73
2020-06,5.33
2020-07,9.64
2020-08,3.52
2020-09,12.61
2020-10,11.68
2020-11,13.98
2020-12,9.18
2021-01,7.81
2021-02,3.44
2021-03,10.88
2021-04,7.74
2021-05,10.31
2021-06,6.24
2021-07,5.18
2021-08,10.73
2021-09,10.97
2021-10,8.13
2021-11,8.81
2021-12,10.05
2022-01,6.36
2022-02,8.53
2022-03,8.06
2022-04,6.83
2022-05,6.97
2022-06,9.17
2022-07,6.14
2022-08,9.97
2022-09,11.0
2022-10,17.33
2022-11,14.37
2022-12,13.05
2023-01,10.57
2023-02,6.13
2023-03,7.31
2023-04,5.91
2023-05,6.27
2023-06,6.31
2023-07,8.53
2023-08,11.76
2023-09,3.42
2023-10,3.05
2023-11,4.58
2023-12,4.71
2024-01,12.37
2024-02,7.94
2024-03,9.31
2024-04,9.58
2024-05,8.94
2024-06,7.81
2024-07,2.95
2024-08,11.52
2024-09,10.85
2024-10,10.89
2024-11,10.28
2024-12,9.48
2025-01,9.88
2025-02,7.29
2025-03,9.65
2025-04,8.8
2025-05,4.61
2025-06,5.06
2025-07,6.88
2025-08,8.44
2025-09,8.87
2025-10,7.48
2025-11,17.39
2025-12,11.91
