Bulan_Tahun,Curah_Hujan
2018-01,3.53
2018-02,8.42
2018-03,9.13
2018-04,6.09
2018-05,8.45
2018-06,7.21
2018-07,4.07
2018-08,4.18
2018-09,5.09
2018-10,14.27
2018-11,14.39
2018-12,10.5
2019-01,8.9
2019-02,8.32
2019-03,7.84
2019-04,7.54
2019-05,5.04
2019-06,6.54
2019-07,3.46
2019-08,2.99
2019-09,3.46
2019-10,5.73
2019-11,7.61
2019-12,6.99
2020-01,7.55
2020-02,3.58
2020-03,6.24
2020-04,13.49
2020-05,9.08
2020-06,5.8
2020-07,8.61
2020-08,5.23
2020-09,10.0
2020-10,9.29
2020-11,15.08
2020-12,8.16
2021-01,9.2
2021-02,3.08
2021-03,12.58
2021-04,10.35
2021-05,11.47
2021-06,8.42
2021-07,4.04
2021-08,10.09
2021-09,12.44
2021-10,10.1
2021-11,9.15
2021-12,11.13
2022-01,7.09
2022-02,11.54
2022-03,9.25
2022-04,13.1
2022-05,6.07
2022-06,12.45
2022-07,6.5
2022-08,9.45
2022-09,10.88
2022-10,14.74
2022-11,13.03
2022-12,11.23
2023-01,9.08
2023-02,7.85
2023-03,8.5
2023-04,10.01
2023-05,8.47
2023-06,9.74
2023-07,7.6
2023-08,11.16
2023-09,4.32
2023-10,3.61
2023-11,9.26
2023-12,12.14
2024-01,12.69
2024-02,12.65
2024-03,7.32
2024-04,12.12
2024-05,13.88
2024-06,10.09
2024-07,2.71
2024-08,9.03
2024-09,7.25
2024-10,11.27
2024-11,10.71
2024-12,7.91
2025-01,14.01
2025-02,10.79
2025-03,11.67
2025-04,10.78
2025-05,7.5
2025-06,4.49
2025-07,4.98
2025-08,6.46
2025-09,8.64
2025-10,5.3
2025-11,12.8
2025-12,14.69
