Bulan_Tahun,Curah_Hujan
2018-01,8.03
2018-02,5.79
2018-03,11.28
2018-04,11.69
2018-05,10.75
2018-06,5.93
2018-07,7.47
2018-08,6.03
2018-09,10.05
2018-10,17.81
2018-11,14.72
2018-12,7.9
2019-01,9.17
2019-02,9.04
2019-03,7.75
2019-04,6.39
2019-05,4.48
2019-06,9.52
2019-07,5.27
2019-08,4.95
2019-09,3.11
2019-10,7.64
2019-11,5.79
2019-12,12.3
2020-01,10.66
2020-02,9.82
2020-03,10.42
2020-04,12.5
2020-05,8.84
2020-06,4.64
2020-07,10.8
2020-08,4.68
2020-09,6.65
2020-10,11.19
2020-11,13.56
2020-12,8.21
2021-01,8.46
2021-02,4.67
2021-03,14.31
2021-04,6.96
2021-05,9.15
2021-06,6.9
2021-07,5.08
2021-08,9.47
2021-09,10.2
2021-10,8.66
2021-11,8.81
2021-12,13.94
2022-01,7.93
2022-02,8.33
2022-03,6.84
2022-04,6.88
2022-05,7.06
2022-06,11.35
2022-07,8.4
2022-08,9.07
2022-09,10.09
2022-10,14.37
2022-11,17.39
2022-12,12.79
2023-01,10.87
2023-02,7.33
2023-03,10.45
2023-04,8.73
2023-05,7.07
2023-06,4.71
2023-07,6.21
2023-08,7.82
2023-09,5.83
2023-10,4.19
2023-11,6.89
2023-12,7.65
2024-01,11.93
2024-02,6.51
2024-03,12.55
2024-04,11.61
2024-05,8.86
2024-06,9.72
2024-07,4.01
2024-08,17.03
2024-09,8.86
2024-10,6.53
2024-11,11.46
2024-12,9.89
2025-01,17.44
2025-02,7.29
2025-03,12.33
2025-04,7.86
2025-05,5.05
2025-06,4.38
2025-07,4.42
2025-08,8.07
2025-09,8.02
2025-10,6.54
2025-11,18.74
2025-12,11.1
