Bulan_Tahun,Curah_Hujan
2018-01,6.23
2018-02,10.55
2018-03,14.76
2018-04,11.42
2018-05,14.07
2018-06,7.46
2018-07,6.84
2018-08,6.52
2018-09,11.11
2018-10,19.27
2018-11,16.69
2018-12,10.89
2019-01,11.58
2019-02,12.63
2019-03,11.25
2019-04,8.1
2019-05,6.94
2019-06,8.52
2019-07,4.55
2019-08,6.9
2019-09,3.8
2019-10,9.64
2019-11,10.6
2019-12,14.31
2020-01,12.47
2020-02,10.24
2020-03,11.88
2020-04,15.3
2020-05,9.82
2020-06,7.18
2020-07,13.54
2020-08,6.04
2020-09,10.83
2020-10,10.62
2020-11,16.57
2020-12,9.34
2021-01,9.39
2021-02,4.46
2021-03,20.44
2021-04,10.95
2021-05,13.66
2021-06,9.3
2021-07,5.52
2021-08,12.19
2021-09,18.05
2021-10,8.96
2021-11,9.26
2021-12,17.99
2022-01,8.63
2022-02,11.35
2022-03,8.65
2022-04,11.43
2022-05,7.62
2022-06,14.89
2022-07,8.09
2022-08,12.91
2022-09,14.3
2022-10,17.58
2022-11,19.07
2022-12,13.22
2023-01,10.62
2023-02,8.28
2023-03,13.0
2023-04,11.21
2023-05,8.4
2023-06,7.38
2023-07,9.75
2023-08,13.71
2023-09,8.92
2023-10,6.94
2023-11,10.44
2023-12,13.41
2024-01,13.34
2024-02,9.98
2024-03,12.71
2024-04,17.19
2024-05,15.18
2024-06,13.49
2024-07,4.62
2024-08,19.01
2024-09,10.51
2024-10,12.75
2024-11,13.57
2024-12,10.58
2025-01,19.11
2025-02,8.64
2025-03,14.86
2025-04,10.2
2025-05,6.24
2025-06,5.25
2025-07,6.24
2025-08,9.62
2025-09,9.56
2025-10,6.36
2025-11,22.01
2025-12,15.69
