Bulan_Tahun,Curah_Hujan
2018-01,6.89
2018-02,5.92
2018-03,9.45
2018-04,10.97
2018-05,16.65
2018-06,5.52
2018-07,6.69
2018-08,5.39
2018-09,9.17
2018-10,17.31
2018-11,14.85
2018-12,6.5
2019-01,10.15
2019-02,10.47
2019-03,10.59
2019-04,7.21
2019-05,7.11
2019-06,10.14
2019-07,4.56
2019-08,4.77
2019-09,3.57
2019-10,5.48
2019-11,6.35
2019-12,10.99
2020-01,11.14
2020-02,7.27
2020-03,14.04
2020-04,10.58
2020-05,8.5
2020-06,7.98
2020-07,11.08
2020-08,4.08
2020-09,17.51
2020-10,10.91
2020-11,17.16
2020-12,8.64
2021-01,8.11
2021-02,2.98
2021-03,12.97
2021-04,7.86
2021-05,14.99
2021-06,6.28
2021-07,4.79
2021-08,11.05
2021-09,15.09
2021-10,9.2
2021-11,8.53
2021-12,8.98
2022-01,6.43
2022-02,10.47
2022-03,7.43
2022-04,6.49
2022-05,6.22
2022-06,10.75
2022-07,5.66
2022-08,12.24
2022-09,9.42
2022-10,15.45
2022-11,14.46
2022-12,12.26
2023-01,10.1
2023-02,5.4
2023-03,9.99
2023-04,7.63
2023-05,5.91
2023-06,6.86
2023-07,8.04
2023-08,14.86
2023-09,4.27
2023-10,4.12
2023-11,7.96
2023-12,6.38
2024-01,15.96
2024-02,11.55
2024-03,11.16
2024-04,16.13
2024-05,12.58
2024-06,9.28
2024-07,2.74
2024-08,14.91
2024-09,11.83
2024-10,13.58
2024-11,10.93
2024-12,9.09
2025-01,11.84
2025-02,7.22
2025-03,12.71
2025-04,8.89
2025-05,5.7
2025-06,5.67
2025-07,6.05
2025-08,9.06
2025-09,9.16
2025-10,8.62
2025-11,17.99
2025-12,12.84
