Bulan_Tahun,Curah_Hujan
2018-01,4.93
2018-02,8.26
2018-03,10.23
2018-04,11.12
2018-05,16.37
2018-06,5.0
2018-07,6.49
2018-08,4.9
2018-09,7.43
2018-10,21.16
2018-11,15.66
2018-12,7.87
2019-01,12.72
2019-02,12.18
2019-03,11.61
2019-04,7.06
2019-05,7.36
2019-06,11.25
2019-07,4.31
2019-08,3.72
2019-09,6.12
2019-10,7.42
2019-11,10.15
2019-12,15.88
2020-01,12.92
2020-02,9.02
2020-03,12.42
2020-04,11.32
2020-05,7.7
2020-06,13.66
2020-07,10.17
2020-08,4.48
2020-09,20.33
2020-10,11.05
2020-11,17.89
2020-12,8.68
2021-01,11.19
2021-02,2.83
2021-03,13.34
2021-04,7.08
2021-05,19.86
2021-06,6.31
2021-07,3.69
2021-08,10.97
2021-09,16.43
2021-10,8.43
2021-11,6.03
2021-12,9.13
2022-01,5.6
2022-02,9.56
2022-03,6.05
2022-04,5.85
2022-05,5.11
2022-06,11.43
2022-07,5.28
2022-08,11.2
2022-09,10.31
2022-10,14.04
2022-11,14.95
2022-12,8.98
2023-01,9.2
2023-02,4.5
2023-03,14.15
2023-04,8.84
2023-05,5.2
2023-06,7.08
2023-07,10.08
2023-08,12.28
2023-09,3.48
2023-10,4.3
2023-11,12.19
2023-12,9.28
2024-01,18.39
2024-02,15.89
2024-03,11.84
2024-04,26.03
2024-05,19.68
2024-06,11.93
2024-07,2.83
2024-08,12.76
2024-09,8.18
2024-10,18.06
2024-11,13.32
2024-12,7.78
2025-01,11.12
2025-02,7.15
2025-03,13.81
2025-04,9.22
2025-05,6.31
2025-06,5.35
2025-07,5.9
2025-08,9.34
2025-09,8.7
2025-10,8.12
2025-11,19.93
2025-12,13.13
