Bulan_Tahun,Curah_Hujan
2018-01,3.57
2018-02,6.14
2018-03,9.2
2018-04,5.74
2018-05,7.87
2018-06,8.63
2018-07,3.99
2018-08,4.05
2018-09,4.17
2018-10,14.57
2018-11,11.98
2018-12,14.03
2019-01,6.67
2019-02,4.89
2019-03,5.06
2019-04,8.45
2019-05,5.03
2019-06,9.58
2019-07,2.81
2019-08,1.98
2019-09,2.38
2019-10,6.78
2019-11,9.23
2019-12,6.06
2020-01,4.91
2020-02,1.67
2020-03,3.87
2020-04,12.38
2020-05,7.95
2020-06,6.43
2020-07,5.39
2020-08,5.87
2020-09,8.38
2020-10,7.85
2020-11,12.39
2020-12,4.76
2021-01,9.74
2021-02,3.26
2021-03,11.55
2021-04,12.22
2021-05,9.14
2021-06,7.28
2021-07,3.66
2021-08,7.94
2021-09,10.11
2021-10,12.03
2021-11,9.29
2021-12,7.62
2022-01,8.48
2022-02,10.47
2022-03,7.59
2022-04,13.58
2022-05,7.94
2022-06,9.93
2022-07,7.28
2022-08,7.18
2022-09,5.74
2022-10,14.1
2022-11,8.39
2022-12,10.78
2023-01,6.3
2023-02,6.85
2023-03,8.64
2023-04,7.09
2023-05,6.61
2023-06,7.58
2023-07,4.43
2023-08,7.77
2023-09,6.2
2023-10,4.85
2023-11,11.93
2023-12,14.8
2024-01,12.39
2024-02,10.86
2024-03,6.27
2024-04,10.0
2024-05,12.12
2024-06,10.77
2024-07,2.76
2024-08,5.66
2024-09,4.15
2024-10,7.57
2024-11,11.2
2024-12,7.01
2025-01,13.14
2025-02,10.76
2025-03,7.62
2025-04,11.96
2025-05,7.01
2025-06,5.93
2025-07,2.98
2025-08,5.9
2025-09,8.97
2025-10,5.25
2025-11,6.45
2025-12,16.19
