Bulan_Tahun,Curah_Hujan
2018-01,7.54
2018-02,5.66
2018-03,10.38
2018-04,11.76
2018-05,10.88
2018-06,6.13
2018-07,7.34
2018-08,5.7
2018-09,10.0
2018-10,16.67
2018-11,15.33
2018-12,7.67
2019-01,10.0
2019-02,9.83
2019-03,8.06
2019-04,6.19
2019-05,5.06
2019-06,9.29
2019-07,5.11
2019-08,5.15
2019-09,3.19
2019-10,7.4
2019-11,5.51
2019-12,12.68
2020-01,9.74
2020-02,9.66
2020-03,9.79
2020-04,11.65
2020-05,8.78
2020-06,5.06
2020-07,10.67
2020-08,4.73
2020-09,7.24
2020-10,11.02
2020-11,13.95
2020-12,7.81
2021-01,7.73
2021-02,4.28
2021-03,13.81
2021-04,7.32
2021-05,8.53
2021-06,6.6
2021-07,5.39
2021-08,9.76
2021-09,11.15
2021-10,9.03
2021-11,9.07
2021-12,12.85
2022-01,7.8
2022-02,7.98
2022-03,6.75
2022-04,7.13
2022-05,7.07
2022-06,10.81
2022-07,7.68
2022-08,10.3
2022-09,10.41
2022-10,14.81
2022-11,16.63
2022-12,12.82
2023-01,9.31
2023-02,7.02
2023-03,9.59
2023-04,8.53
2023-05,6.96
2023-06,4.85
2023-07,6.19
2023-08,8.93
2023-09,5.68
2023-10,4.81
2023-11,6.0
2023-12,7.57
2024-01,11.83
2024-02,6.69
2024-03,12.43
2024-04,11.23
2024-05,8.97
2024-06,10.03
2024-07,4.12
2024-08,16.5
2024-09,9.9
2024-10,6.21
2024-11,11.35
2024-12,9.82
2025-01,17.93
2025-02,7.6
2025-03,12.92
2025-04,8.04
2025-05,5.07
2025-06,4.5
2025-07,4.45
2025-08,8.69
2025-09,8.29
2025-10,7.08
2025-11,17.75
2025-12,11.45
