Bulan_Tahun,Curah_Hujan
2018-01,6.62
2018-02,10.76
2018-03,14.28
2018-04,10.21
2018-05,13.09
2018-06,8.19
2018-07,8.18
2018-08,7.29
2018-09,9.11
2018-10,19.14
2018-11,16.36
2018-12,11.73
2019-01,9.48
2019-02,9.84
2019-03,10.54
2019-04,8.52
2019-05,7.31
2019-06,9.51
2019-07,3.67
2019-08,7.75
2019-09,3.55
2019-10,11.47
2019-11,12.2
2019-12,12.36
2020-01,12.34
2020-02,7.04
2020-03,10.05
2020-04,14.74
2020-05,9.57
2020-06,7.59
2020-07,11.98
2020-08,5.73
2020-09,11.5
2020-10,10.5
2020-11,15.01
2020-12,9.77
2021-01,8.29
2021-02,3.25
2021-03,16.73
2021-04,12.27
2021-05,11.73
2021-06,10.04
2021-07,5.95
2021-08,11.16
2021-09,14.85
2021-10,8.66
2021-11,9.72
2021-12,16.83
2022-01,7.85
2022-02,10.49
2022-03,9.4
2022-04,11.6
2022-05,8.45
2022-06,14.83
2022-07,8.69
2022-08,12.52
2022-09,13.71
2022-10,17.26
2022-11,17.34
2022-12,14.1
2023-01,9.39
2023-02,6.96
2023-03,11.86
2023-04,9.85
2023-05,8.43
2023-06,7.15
2023-07,10.41
2023-08,13.27
2023-09,8.84
2023-10,7.88
2023-11,13.41
2023-12,13.36
2024-01,11.56
2024-02,10.26
2024-03,10.8
2024-04,14.74
2024-05,15.0
2024-06,14.44
2024-07,4.39
2024-08,15.07
2024-09,10.81
2024-10,12.13
2024-11,13.89
2024-12,10.03
2025-01,15.74
2025-02,8.83
2025-03,11.86
2025-04,11.0
2025-05,6.9
2025-06,4.96
2025-07,6.21
2025-08,9.27
2025-09,10.2
2025-10,6.96
2025-11,19.07
2025-12,15.41
