Bulan_Tahun,Curah_Hujan
2018-01,5.17
2018-02,10.31
2018-03,11.77
2018-04,9.18
2018-05,14.29
2018-06,6.37
2018-07,5.34
2018-08,4.86
2018-09,9.57
2018-10,17.05
2018-11,16.11
2018-12,9.19
2019-01,11.53
2019-02,12.93
2019-03,12.33
2019-04,7.56
2019-05,6.8
2019-06,8.61
2019-07,4.25
2019-08,5.2
2019-09,4.25
2019-10,5.4
2019-11,9.05
2019-12,12.19
2020-01,10.42
2020-02,8.1
2020-03,11.69
2020-04,12.65
2020-05,9.85
2020-06,8.54
2020-07,13.63
2020-08,5.18
2020-09,14.24
2020-10,10.1
2020-11,19.61
2020-12,9.53
2021-01,9.52
2021-02,3.17
2021-03,18.68
2021-04,9.57
2021-05,17.3
2021-06,8.36
2021-07,5.01
2021-08,13.11
2021-09,19.42
2021-10,9.15
2021-11,9.01
2021-12,15.57
2022-01,7.2
2022-02,12.98
2022-03,9.01
2022-04,10.77
2022-05,6.46
2022-06,14.52
2022-07,6.86
2022-08,13.39
2022-09,14.67
2022-10,17.16
2022-11,18.01
2022-12,12.09
2023-01,11.03
2023-02,7.66
2023-03,11.36
2023-04,10.42
2023-05,7.82
2023-06,9.56
2023-07,10.3
2023-08,16.17
2023-09,5.51
2023-10,4.72
2023-11,7.96
2023-12,10.99
2024-01,16.02
2024-02,12.75
2024-03,11.61
2024-04,18.89
2024-05,17.68
2024-06,11.73
2024-07,3.66
2024-08,15.93
2024-09,10.55
2024-10,15.15
2024-11,13.26
2024-12,10.57
2025-01,16.76
2025-02,9.35
2025-03,15.97
2025-04,10.3
2025-05,6.38
2025-06,5.56
2025-07,7.11
2025-08,10.24
2025-09,9.02
2025-10,6.1
2025-11,23.53
2025-12,15.89
