Bulan_Tahun,Curah_Hujan
2018-01,6.94
2018-02,7.02
2018-03,11.62
2018-04,10.78
2018-05,15.31
2018-06,5.95
2018-07,6.59
2018-08,5.26
2018-09,11.19
2018-10,16.52
2018-11,16.39
2018-12,7.56
2019-01,11.97
2019-02,12.77
2019-03,10.93
2019-04,7.53
2019-05,7.01
2019-06,8.5
2019-07,5.15
2019-08,5.7
2019-09,3.66
2019-10,5.83
2019-11,6.51
2019-12,13.37
2020-01,10.59
2020-02,9.58
2020-03,13.6
2020-04,12.39
2020-05,9.63
2020-06,7.03
2020-07,12.79
2020-08,4.61
2020-09,12.83
2020-10,10.49
2020-11,16.84
2020-12,8.53
2021-01,8.67
2021-02,3.91
2021-03,16.93
2021-04,9.1
2021-05,13.58
2021-06,7.56
2021-07,5.05
2021-08,12.24
2021-09,16.91
2021-10,10.06
2021-11,9.15
2021-12,12.32
2022-01,8.25
2022-02,10.74
2022-03,7.27
2022-04,8.03
2022-05,6.67
2022-06,11.8
2022-07,6.14
2022-08,13.31
2022-09,10.38
2022-10,16.59
2022-11,16.19
2022-12,13.08
2023-01,10.31
2023-02,7.23
2023-03,10.96
2023-04,9.73
2023-05,7.01
2023-06,6.67
2023-07,7.48
2023-08,14.97
2023-09,6.28
2023-10,5.29
2023-11,6.56
2023-12,9.14
2024-01,15.67
2024-02,10.24
2024-03,12.63
2024-04,15.53
2024-05,12.84
2024-06,10.32
2024-07,3.84
2024-08,17.65
2024-09,12.29
2024-10,11.23
2024-11,11.06
2024-12,10.07
2025-01,16.84
2025-02,7.54
2025-03,15.7
2025-04,9.21
2025-05,5.91
2025-06,5.64
2025-07,5.9
2025-08,9.7
2025-09,9.53
2025-10,8.18
2025-11,20.45
2025-12,14.49
