Tanggal,Curah_Hujan
2024-10-16,0.46
2024-10-17,14.58
2024-10-18,0.75
2024-10-19,1.28
2024-10-20,1.11
2024-10-21,0.07
2024-10-22,0.51
2024-10-23,0.49
2024-10-24,0.43
2024-10-25,0.45
2024-10-26,0.1
2024-10-27,0.34
2024-10-28,0.53
2024-10-29,0.63
2024-10-30,1.58
2024-10-31,26.41
2024-11-01,2.45
2024-11-02,9.54
2024-11-03,2.67
2024-11-04,3.89
2024-11-05,4.29
2024-11-06,3.53
2024-11-07,10.61
2024-11-08,1.44
2024-11-09,6.25
2024-11-10,6.0
2024-11-11,1.65
2024-11-12,7.0
2024-11-13,21.61
2024-11-14,56.44
2024-11-15,16.13
2024-11-16,73.63
2024-11-17,62.41
2024-11-18,16.25
2024-11-19,9.01
2024-11-20,11.08
2024-11-21,21.87
2024-11-22,10.36
2024-11-23,6.02
2024-11-24,6.96
2024-11-25,1.41
2024-11-26,5.48
2024-11-27,5.05
2024-11-28,10.22
2024-11-29,2.53
2024-11-30,2.06
2024-12-01,14.82
2024-12-02,18.64
2024-12-03,6.57
2024-12-04,20.33
2024-12-05,12.04
2024-12-06,4.67
2024-12-07,8.82
2024-12-08,11.52
2024-12-09,21.47
2024-12-10,3.63
2024-12-11,15.34
2024-12-12,40.94
2024-12-13,7.46
2024-12-14,6.9
2024-12-15,3.6
2024-12-16,3.0
2024-12-17,5.92
2024-12-18,10.07
2024-12-19,5.31
2024-12-20,4.2
2024-12-21,7.48
2024-12-22,8.54
2024-12-23,37.81
2024-12-24,39.09
2024-12-25,2.4
2024-12-26,1.54
2024-12-27,1.16
2024-12-28,0.79
2024-12-29,2.91
2024-12-30,0.58
2024-12-31,0.08
2025-01-01,2.12
2025-01-02,2.27
2025-01-03,0.55
2025-01-04,0.17
2025-01-05,0.52
2025-01-06,15.45
2025-01-07,71.4
2025-01-08,3.8
2025-01-09,6.71
2025-01-10,3.42
2025-01-11,7.85
2025-01-12,15.99
2025-01-13,16.71
2025-01-14,30.48
2025-01-15,28.27
2025-01-16,28.03
2025-01-17,67.17
2025-01-18,16.46
2025-01-19,15.66
2025-01-20,11.28
2025-01-21,23.05
2025-01-22,9.11
2025-01-23,27.36
2025-01-24,21.7
2025-01-25,68.52
2025-01-26,7.9
2025-01-27,6.22
2025-01-28,5.43
2025-01-29,2.09
2025-01-30,2.18
2025-01-31,1.72
2025-02-01,1.38
2025-02-02,0.45
2025-02-03,0.48
2025-02-04,1.19
2025-02-05,1.89
2025-02-06,0.9
2025-02-07,3.37
2025-02-08,7.85
2025-02-09,0.78
2025-02-10,0.06
2025-02-11,0.17
2025-02-12,0.27
2025-02-13,0.66
2025-02-14,2.95
2025-02-15,9.65
2025-02-16,2.33
2025-02-17,7.5
2025-02-18,29.55
2025-02-19,20.14
2025-02-20,23.88
2025-02-21,16.08
2025-02-22,14.28
2025-02-23,7.17
2025-02-24,2.66
2025-02-25,6.42
2025-02-26,28.74
2025-02-27,66.67
2025-02-28,4.19
2025-03-01,4.52
2025-03-02,6.29
2025-03-03,72.36
2025-03-04,4.86
2025-03-05,31.1
2025-03-06,36.48
2025-03-07,3.76
2025-03-08,13.72
2025-03-09,1.04
2025-03-10,4.23
2025-03-11,26.52
2025-03-12,43.49
2025-03-13,56.07
2025-03-14,8.17
2025-03-15,3.86
2025-03-16,6.82
2025-03-17,11.9
2025-03-18,5.57
2025-03-19,19.85
2025-03-20,5.52
2025-03-21,2.04
2025-03-22,5.15
2025-03-23,4.84
2025-03-24,2.5
2025-03-25,2.82
2025-03-26,0.79
2025-03-27,42.9
2025-03-28,28.33
2025-03-29,26.04
2025-03-30,7.22
2025-03-31,6.22
2025-04-01,8.93
2025-04-02,3.94
2025-04-03,1.35
2025-04-04,17.54
2025-04-05,15.47
2025-04-06,3.05
2025-04-07,16.99
2025-04-08,10.26
2025-04-09,3.87
2025-04-10,6.34
2025-04-11,15.05
2025-04-12,8.49
2025-04-13,17.14
2025-04-14,15.02
2025-04-15,19.12
2025-04-16,22.57
2025-04-17,16.49
2025-04-18,2.0
2025-04-19,5.5
2025-04-20,9.28
2025-04-21,11.48
2025-04-22,14.59
2025-04-23,20.58
2025-04-24,8.68
2025-04-25,0.9
2025-04-26,1.38
2025-04-27,4.89
2025-04-28,18.61
2025-04-29,3.49
2025-04-30,5.94
2025-05-01,13.05
2025-05-02,16.46
2025-05-03,4.94
2025-05-04,2.8
2025-05-05,1.5
2025-05-06,0.75
2025-05-07,1.21
2025-05-08,8.91
2025-05-09,4.3
2025-05-10,9.23
2025-05-11,46.99
2025-05-12,7.06
2025-05-13,11.87
2025-05-14,7.29
2025-05-15,5.11
2025-05-16,7.78
2025-05-17,0.8
2025-05-18,4.73
2025-05-19,0.97
2025-05-20,1.23
2025-05-21,8.02
2025-05-22,9.08
2025-05-23,7.02
2025-05-24,2.13
2025-05-25,3.03
2025-05-26,0.9
2025-05-27,0.62
2025-05-28,2.21
2025-05-29,0.33
2025-05-30,0.47
2025-05-31,6.9
2025-06-01,2.06
2025-06-02,3.9
2025-06-03,2.42
2025-06-04,7.62
2025-06-05,11.37
2025-06-06,19.34
2025-06-07,4.0
2025-06-08,3.06
2025-06-09,12.97
2025-06-10,16.46
2025-06-11,2.78
2025-06-12,0.68
2025-06-13,0.85
2025-06-14,1.26
2025-06-15,3.64
2025-06-16,29.61
2025-06-17,28.0
2025-06-18,2.12
2025-06-19,0.54
2025-06-20,0.89
2025-06-21,0.53
2025-06-22,3.01
2025-06-23,1.04
2025-06-24,0.76
2025-06-25,0.12
2025-06-26,0.33
2025-06-27,0.82
2025-06-28,5.86
2025-06-29,0.11
2025-06-30,0.79
2025-07-01,0.3
2025-07-02,1.02
2025-07-03,0.3
2025-07-04,1.29
2025-07-05,5.18
2025-07-06,13.67
2025-07-07,2.53
2025-07-08,26.13
2025-07-09,20.47
2025-07-10,1.17
2025-07-11,4.19
2025-07-12,1.06
2025-07-13,12.53
2025-07-14,25.02
2025-07-15,2.56
2025-07-16,0.28
2025-07-17,0.07
2025-07-18,0.03
2025-07-19,0.08
2025-07-20,9.07
2025-07-21,6.99
2025-07-22,1.22
2025-07-23,0.96
2025-07-24,1.35
2025-07-25,24.42
2025-07-26,13.47
2025-07-27,4.32
2025-07-28,7.0
2025-07-29,12.35
2025-07-30,18.09
2025-07-31,3.22
2025-08-01,14.45
2025-08-02,13.06
2025-08-03,2.61
2025-08-04,8.47
2025-08-05,2.42
2025-08-06,3.13
2025-08-07,17.31
2025-08-08,60.6
2025-08-09,39.15
2025-08-10,15.49
2025-08-11,25.25
2025-08-12,4.15
2025-08-13,4.8
2025-08-14,1.71
2025-08-15,13.62
2025-08-16,0.27
2025-08-17,1.68
2025-08-18,0.67
2025-08-19,0.59
2025-08-20,0.56
2025-08-21,0.2
2025-08-22,1.67
2025-08-23,3.18
2025-08-24,2.22
2025-08-25,2.17
2025-08-26,0.98
2025-08-27,1.16
2025-08-28,47.56
2025-08-29,21.25
2025-08-30,5.58
2025-08-31,1.61
2025-09-01,4.1
2025-09-02,5.72
2025-09-03,14.92
2025-09-04,31.82
2025-09-05,9.74
2025-09-06,5.88
2025-09-07,6.11
2025-09-08,0.3
2025-09-09,3.03
2025-09-10,7.98
2025-09-11,31.47
2025-09-12,6.43
2025-09-13,12.1
2025-09-14,12.01
2025-09-15,7.68
2025-09-16,10.74
2025-09-17,3.47
2025-09-18,4.07
2025-09-19,1.44
2025-09-20,7.05
2025-09-21,5.82
2025-09-22,5.11
2025-09-23,15.26
2025-09-24,11.54
2025-09-25,2.41
2025-09-26,0.48
2025-09-27,2.57
2025-09-28,34.83
2025-09-29,4.62
2025-09-30,1.93
2025-10-01,3.5
2025-10-02,1.58
2025-10-03,6.73
2025-10-04,0.16
2025-10-05,3.43
2025-10-06,4.58
2025-10-07,3.59
2025-10-08,0.06
2025-10-09,0.97
2025-10-10,1.32
2025-10-11,7.06
2025-10-12,12.72
2025-10-13,0.67
2025-10-14,9.25
2025-10-15,5.45
2025-10-16,17.29
2025-10-17,25.28
2025-10-18,34.46
2025-10-19,12.59
2025-10-20,9.28
2025-10-21,2.83
2025-10-22,2.57
2025-10-23,0.74
2025-10-24,10.23
2025-10-25,6.08
2025-10-26,3.33
2025-10-27,0.88
2025-10-28,0.56
