Bulan_Tahun,Curah_Hujan,Kategori,Time_Index
2018-01-01,7.8960784313725485,Rendah,1
2018-02-01,10.721764705882352,Rendah,2
2018-03-01,13.505098039215687,Sedang,3
2018-04-01,13.348431372549019,Sedang,4
2018-05-01,15.852941176470589,Sedang,5
2018-06-01,8.54372549019608,Rendah,6
2018-07-01,8.557450980392156,Rendah,7
2018-08-01,7.4303921568627445,Rendah,8
2018-09-01,11.896274509803922,Rendah,9
2018-10-01,24.02823529411765,Tinggi,10
2018-11-01,20.282352941176473,Sedang,11
2018-12-01,13.362941176470589,Sedang,12
2019-01-01,12.359607843137255,Rendah,13
2019-02-01,10.34529411764706,Rendah,14
2019-03-01,12.45313725490196,Rendah,15
2019-04-01,10.001960784313725,Rendah,16
2019-05-01,7.321176470588235,Rendah,17
2019-06-01,13.056666666666667,Sedang,18
2019-07-01,6.84235294117647,Rendah,19
2019-08-01,5.996078431372549,Rendah,20
2019-09-01,4.405294117647059,Rendah,21
2019-10-01,8.304313725490196,Rendah,22
2019-11-01,8.545882352941177,Rendah,23
2019-12-01,14.994509803921568,Sedang,24
2020-01-01,14.374509803921569,Sedang,25
2020-02-01,9.150980392156862,Rendah,26
2020-03-01,13.795294117647058,Sedang,27
2020-04-01,13.956078431372548,Sedang,28
2020-05-01,13.300196078431371,Sedang,29
2020-06-01,9.213725490196078,Rendah,30
2020-07-01,13.28,Sedang,31
2020-08-01,6.915098039215686,Rendah,32
2020-09-01,19.11843137254902,Sedang,33
2020-10-01,15.108235294117646,Sedang,34
2020-11-01,21.365686274509805,Tinggi,35
2020-12-01,11.207254901960786,Rendah,36
2021-01-01,12.670588235294119,Sedang,37
2021-02-01,4.501764705882353,Rendah,38
2021-03-01,18.175098039215687,Sedang,39
2021-04-01,10.914901960784313,Rendah,40
2021-05-01,16.487843137254902,Sedang,41
2021-06-01,9.686274509803921,Rendah,42
2021-07-01,6.623529411764706,Rendah,43
2021-08-01,14.302352941176473,Sedang,44
2021-09-01,18.39470588235294,Sedang,45
2021-10-01,11.414313725490196,Rendah,46
2021-11-01,11.268823529411765,Rendah,47
2021-12-01,18.83235294117647,Sedang,48
2022-01-01,9.042156862745097,Rendah,49
2022-02-01,10.40607843137255,Rendah,50
2022-03-01,10.362745098039216,Rendah,51
2022-04-01,11.442156862745097,Rendah,52
2022-05-01,8.684117647058823,Rendah,53
2022-06-01,16.53058823529412,Sedang,54
2022-07-01,9.569215686274509,Rendah,55
2022-08-01,13.864117647058825,Sedang,56
2022-09-01,17.377254901960786,Sedang,57
2022-10-01,21.44921568627451,Tinggi,58
2022-11-01,23.41901960784314,Tinggi,59
2022-12-01,16.193921568627452,Sedang,60
2023-01-01,13.900392156862745,Sedang,61
2023-02-01,8.996666666666666,Rendah,62
2023-03-01,14.97078431372549,Sedang,63
2023-04-01,11.410392156862745,Rendah,64
2023-05-01,10.33686274509804,Rendah,65
2023-06-01,11.074901960784315,Rendah,66
2023-07-01,15.522745098039215,Sedang,67
2023-08-01,16.653333333333336,Sedang,68
2023-09-01,6.022156862745098,Rendah,69
2023-10-01,5.01,Rendah,70
2023-11-01,10.86,Rendah,71
2023-12-01,10.887254901960784,Rendah,72
2024-01-01,18.19156862745098,Sedang,73
2024-02-01,13.173529411764706,Sedang,74
2024-03-01,16.194313725490197,Sedang,75
2024-04-01,18.580980392156864,Sedang,76
2024-05-01,15.70764705882353,Sedang,77
2024-06-01,12.539019607843137,Rendah,78
2024-07-01,4.546078431372549,Rendah,79
2024-08-01,17.009215686274512,Sedang,80
2024-09-01,11.91,Rendah,81
2024-10-01,18.17235294117647,Sedang,82
2024-11-01,15.47156862745098,Sedang,83
2024-12-01,15.40470588235294,Sedang,84
2025-01-01,18.697254901960786,Sedang,85
2025-02-01,11.333529411764706,Rendah,86
2025-03-01,17.580000000000002,Sedang,87
2025-04-01,12.762156862745098,Sedang,88
2025-05-01,8.373529411764705,Rendah,89
2025-06-01,9.21078431372549,Rendah,90
2025-07-01,9.072941176470588,Rendah,91
2025-08-01,12.664901960784313,Sedang,92
2025-09-01,13.875882352941176,Sedang,93
2025-10-01,8.563921568627451,Rendah,94
2025-11-01,29.17235294117647,Tinggi,95
2025-12-01,17.530196078431374,Sedang,96
