Bulan_Tahun,Prediksi_Curah_Hujan,Kategori
2026-02-01,12.14942445543271,Rendah
2026-03-01,14.8845198479464,Rendah
2026-04-01,12.939039160976776,Rendah
2026-05-01,12.828399865397369,Rendah
2026-06-01,13.452623130697372,Rendah
2026-07-01,15.487139565136797,Rendah
2026-08-01,12.354112809055325,Rendah
2026-09-01,15.75914391910404,Rendah
2026-10-01,17.734546341616213,Rendah
2026-11-01,17.297448160299698,Rendah
2026-12-01,18.553852672586643,Rendah
2027-01-01,16.589551904273517,Rendah
