Bulan_Tahun,Curah_Hujan,Time_Index,Kategori
2024-06-24,5.44,176,Rendah
2024-06-25,1.25,177,Rendah
2024-06-26,1.36,178,Rendah
2024-06-27,8.77,179,Rendah
2024-06-28,1.8,180,Rendah
2024-06-29,4.11,181,Rendah
2024-06-30,1.33,182,Rendah
2024-07-01,1.45,183,Rendah
2024-07-02,2.81,184,Rendah
2024-07-03,9.09,185,Rendah
2024-07-04,0.3,186,Rendah
2024-07-05,3.26,187,Rendah
2024-07-06,7.74,188,Rendah
2024-07-07,5.56,189,Rendah
2024-07-08,8.76,190,Rendah
2024-07-09,1.97,191,Rendah
2024-07-10,4.59,192,Rendah
2024-07-11,0.83,193,Rendah
2024-07-12,4.54,194,Rendah
2024-07-13,4.48,195,Rendah
2024-07-14,0.31,196,Rendah
2024-07-15,0.93,197,Rendah
2024-07-16,0.73,198,Rendah
2024-07-17,0.45,199,Rendah
2024-07-18,0.23,200,Rendah
2024-07-19,0.14,201,Rendah
2024-07-20,0.14,202,Rendah
2024-07-21,0.04,203,Rendah
2024-07-22,0.04,204,Rendah
2024-07-23,0.39,205,Rendah
2024-07-24,0.03,206,Rendah
2024-07-25,0.18,207,Rendah
2024-07-26,0.13,208,Rendah
2024-07-27,0.07,209,Rendah
2024-07-28,0.23,210,Rendah
2024-07-29,1.21,211,Rendah
2024-07-30,9.88,212,Rendah
2024-07-31,43.06,213,Sedang
2024-08-01,21.55,214,Rendah
2024-08-02,3.06,215,Rendah
2024-08-03,18.12,216,Rendah
2024-08-04,15.13,217,Rendah
2024-08-05,25.05,218,Rendah
2024-08-06,27.05,219,Rendah
2024-08-07,17.19,220,Rendah
2024-08-08,1.31,221,Rendah
2024-08-09,6.4,222,Rendah
2024-08-10,24.36,223,Rendah
2024-08-11,25.77,224,Rendah
2024-08-12,7.1,225,Rendah
2024-08-13,1.0,226,Rendah
2024-08-14,0.51,227,Rendah
2024-08-15,9.93,228,Rendah
2024-08-16,18.13,229,Rendah
2024-08-17,7.41,230,Rendah
2024-08-18,5.83,231,Rendah
2024-08-19,43.63,232,Sedang
2024-08-20,38.14,233,Sedang
2024-08-21,2.59,234,Rendah
2024-08-22,37.27,235,Sedang
2024-08-23,38.13,236,Sedang
2024-08-24,31.02,237,Rendah
2024-08-25,5.26,238,Rendah
2024-08-26,35.72,239,Sedang
2024-08-27,23.45,240,Rendah
2024-08-28,2.22,241,Rendah
2024-08-29,0.2,242,Rendah
2024-08-30,0.81,243,Rendah
2024-08-31,0.59,244,Rendah
2024-09-01,0.9,245,Rendah
2024-09-02,1.62,246,Rendah
2024-09-03,3.95,247,Rendah
2024-09-04,12.49,248,Rendah
2024-09-05,1.41,249,Rendah
2024-09-06,1.88,250,Rendah
2024-09-07,13.85,251,Rendah
2024-09-08,6.34,252,Rendah
2024-09-09,33.99,253,Rendah
2024-09-10,7.44,254,Rendah
2024-09-11,3.25,255,Rendah
2024-09-12,5.71,256,Rendah
2024-09-13,1.39,257,Rendah
2024-09-14,4.28,258,Rendah
2024-09-15,28.91,259,Rendah
2024-09-16,19.64,260,Rendah
2024-09-17,19.76,261,Rendah
2024-09-18,8.39,262,Rendah
2024-09-19,0.46,263,Rendah
2024-09-20,0.6,264,Rendah
2024-09-21,0.29,265,Rendah
2024-09-22,0.06,266,Rendah
2024-09-23,0.56,267,Rendah
2024-09-24,3.39,268,Rendah
2024-09-25,7.89,269,Rendah
2024-09-26,3.52,270,Rendah
2024-09-27,3.73,271,Rendah
2024-09-28,33.89,272,Rendah
2024-09-29,68.44,273,Sedang
2024-09-30,18.4,274,Rendah
2024-10-01,12.88,275,Rendah
2024-10-02,22.62,276,Rendah
2024-10-03,11.49,277,Rendah
2024-10-04,79.75,278,Tinggi
2024-10-05,37.53,279,Sedang
2024-10-06,33.22,280,Rendah
2024-10-07,25.6,281,Rendah
2024-10-08,2.93,282,Rendah
2024-10-09,9.62,283,Rendah
2024-10-10,13.96,284,Rendah
2024-10-11,22.3,285,Rendah
2024-10-12,60.19,286,Sedang
2024-10-13,58.71,287,Sedang
2024-10-14,20.42,288,Rendah
2024-10-15,8.81,289,Rendah
2024-10-16,0.46,290,Rendah
2024-10-17,14.58,291,Rendah
2024-10-18,0.75,292,Rendah
2024-10-19,1.28,293,Rendah
2024-10-20,1.11,294,Rendah
2024-10-21,0.07,295,Rendah
2024-10-22,0.51,296,Rendah
2024-10-23,0.49,297,Rendah
2024-10-24,0.43,298,Rendah
2024-10-25,0.45,299,Rendah
2024-10-26,0.1,300,Rendah
2024-10-27,0.34,301,Rendah
2024-10-28,0.53,302,Rendah
2024-10-29,0.63,303,Rendah
2024-10-30,1.58,304,Rendah
2024-10-31,26.41,305,Rendah
2024-11-01,2.45,306,Rendah
2024-11-02,9.54,307,Rendah
2024-11-03,2.67,308,Rendah
2024-11-04,3.89,309,Rendah
2024-11-05,4.29,310,Rendah
2024-11-06,3.53,311,Rendah
2024-11-07,10.61,312,Rendah
2024-11-08,1.44,313,Rendah
2024-11-09,6.25,314,Rendah
2024-11-10,6.0,315,Rendah
2024-11-11,1.65,316,Rendah
2024-11-12,7.0,317,Rendah
2024-11-13,21.61,318,Rendah
2024-11-14,56.44,319,Sedang
2024-11-15,16.13,320,Rendah
2024-11-16,73.63,321,Tinggi
2024-11-17,62.41,322,Sedang
2024-11-18,16.25,323,Rendah
2024-11-19,9.01,324,Rendah
2024-11-20,11.08,325,Rendah
2024-11-21,21.87,326,Rendah
2024-11-22,10.36,327,Rendah
2024-11-23,6.02,328,Rendah
2024-11-24,6.96,329,Rendah
2024-11-25,1.41,330,Rendah
2024-11-26,5.48,331,Rendah
2024-11-27,5.05,332,Rendah
2024-11-28,10.22,333,Rendah
2024-11-29,2.53,334,Rendah
2024-11-30,2.06,335,Rendah
2024-12-01,14.82,336,Rendah
2024-12-02,18.64,337,Rendah
2024-12-03,6.57,338,Rendah
2024-12-04,20.33,339,Rendah
2024-12-05,12.04,340,Rendah
2024-12-06,4.67,341,Rendah
2024-12-07,8.82,342,Rendah
2024-12-08,11.52,343,Rendah
2024-12-09,21.47,344,Rendah
2024-12-10,3.63,345,Rendah
2024-12-11,15.34,346,Rendah
2024-12-12,40.94,347,Sedang
2024-12-13,7.46,348,Rendah
2024-12-14,6.9,349,Rendah
2024-12-15,3.6,350,Rendah
2024-12-16,3.0,351,Rendah
2024-12-17,5.92,352,Rendah
2024-12-18,10.07,353,Rendah
2024-12-19,5.31,354,Rendah
2024-12-20,4.2,355,Rendah
2024-12-21,7.48,356,Rendah
2024-12-22,8.54,357,Rendah
2024-12-23,37.81,358,Sedang
2024-12-24,39.09,359,Sedang
2024-12-25,2.4,360,Rendah
2024-12-26,1.54,361,Rendah
2024-12-27,1.16,362,Rendah
2024-12-28,0.79,363,Rendah
2024-12-29,2.91,364,Rendah
2024-12-30,0.58,365,Rendah
2024-12-31,0.08,366,Rendah
2025-01-01,2.12,367,Rendah
2025-01-02,2.27,368,Rendah
2025-01-03,0.55,369,Rendah
2025-01-04,0.17,370,Rendah
2025-01-05,0.52,371,Rendah
2025-01-06,15.45,372,Rendah
2025-01-07,71.4,373,Tinggi
2025-01-08,3.8,374,Rendah
2025-01-09,6.71,375,Rendah
2025-01-10,3.42,376,Rendah
2025-01-11,7.85,377,Rendah
2025-01-12,15.99,378,Rendah
2025-01-13,16.71,379,Rendah
2025-01-14,30.48,380,Rendah
2025-01-15,28.27,381,Rendah
2025-01-16,28.03,382,Rendah
2025-01-17,67.17,383,Sedang
2025-01-18,16.46,384,Rendah
2025-01-19,15.66,385,Rendah
2025-01-20,11.28,386,Rendah
2025-01-21,23.05,387,Rendah
2025-01-22,9.11,388,Rendah
2025-01-23,27.36,389,Rendah
2025-01-24,21.7,390,Rendah
2025-01-25,68.52,391,Sedang
2025-01-26,7.9,392,Rendah
2025-01-27,6.22,393,Rendah
2025-01-28,5.43,394,Rendah
2025-01-29,2.09,395,Rendah
2025-01-30,2.18,396,Rendah
2025-01-31,1.72,397,Rendah
2025-02-01,1.38,398,Rendah
2025-02-02,0.45,399,Rendah
2025-02-03,0.48,400,Rendah
2025-02-04,1.19,401,Rendah
2025-02-05,1.89,402,Rendah
2025-02-06,0.9,403,Rendah
2025-02-07,3.37,404,Rendah
2025-02-08,7.85,405,Rendah
2025-02-09,0.78,406,Rendah
2025-02-10,0.06,407,Rendah
2025-02-11,0.17,408,Rendah
2025-02-12,0.27,409,Rendah
2025-02-13,0.66,410,Rendah
2025-02-14,2.95,411,Rendah
2025-02-15,9.65,412,Rendah
2025-02-16,2.33,413,Rendah
2025-02-17,7.5,414,Rendah
2025-02-18,29.55,415,Rendah
2025-02-19,20.14,416,Rendah
2025-02-20,23.88,417,Rendah
2025-02-21,16.08,418,Rendah
2025-02-22,14.28,419,Rendah
2025-02-23,7.17,420,Rendah
2025-02-24,2.66,421,Rendah
2025-02-25,6.42,422,Rendah
2025-02-26,28.74,423,Rendah
2025-02-27,66.67,424,Sedang
2025-02-28,4.19,425,Rendah
2025-03-01,4.52,426,Rendah
2025-03-02,6.29,427,Rendah
2025-03-03,72.36,428,Tinggi
2025-03-04,4.86,429,Rendah
2025-03-05,31.1,430,Rendah
2025-03-06,36.48,431,Sedang
2025-03-07,3.76,432,Rendah
2025-03-08,13.72,433,Rendah
2025-03-09,1.04,434,Rendah
2025-03-10,4.23,435,Rendah
2025-03-11,26.52,436,Rendah
2025-03-12,43.49,437,Sedang
2025-03-13,56.07,438,Sedang
2025-03-14,8.17,439,Rendah
2025-03-15,3.86,440,Rendah
2025-03-16,6.82,441,Rendah
2025-03-17,11.9,442,Rendah
2025-03-18,5.57,443,Rendah
2025-03-19,19.85,444,Rendah
2025-03-20,5.52,445,Rendah
2025-03-21,2.04,446,Rendah
2025-03-22,5.15,447,Rendah
2025-03-23,4.84,448,Rendah
2025-03-24,2.5,449,Rendah
2025-03-25,2.82,450,Rendah
2025-03-26,0.79,451,Rendah
2025-03-27,42.9,452,Sedang
2025-03-28,28.33,453,Rendah
2025-03-29,26.04,454,Rendah
2025-03-30,7.22,455,Rendah
2025-03-31,6.22,456,Rendah
2025-04-01,8.93,457,Rendah
2025-04-02,3.94,458,Rendah
2025-04-03,1.35,459,Rendah
2025-04-04,17.54,460,Rendah
2025-04-05,15.47,461,Rendah
2025-04-06,3.05,462,Rendah
2025-04-07,16.99,463,Rendah
2025-04-08,10.26,464,Rendah
2025-04-09,3.87,465,Rendah
2025-04-10,6.34,466,Rendah
2025-04-11,15.05,467,Rendah
2025-04-12,8.49,468,Rendah
2025-04-13,17.14,469,Rendah
2025-04-14,15.02,470,Rendah
2025-04-15,19.12,471,Rendah
2025-04-16,22.57,472,Rendah
2025-04-17,16.49,473,Rendah
2025-04-18,2.0,474,Rendah
2025-04-19,5.5,475,Rendah
2025-04-20,9.28,476,Rendah
2025-04-21,11.48,477,Rendah
2025-04-22,14.59,478,Rendah
2025-04-23,20.58,479,Rendah
2025-04-24,8.68,480,Rendah
2025-04-25,0.9,481,Rendah
2025-04-26,1.38,482,Rendah
2025-04-27,4.89,483,Rendah
2025-04-28,18.61,484,Rendah
2025-04-29,3.49,485,Rendah
2025-04-30,5.94,486,Rendah
2025-05-01,13.05,487,Rendah
2025-05-02,16.46,488,Rendah
2025-05-03,4.94,489,Rendah
2025-05-04,2.8,490,Rendah
2025-05-05,1.5,491,Rendah
2025-05-06,0.75,492,Rendah
2025-05-07,1.21,493,Rendah
2025-05-08,8.91,494,Rendah
2025-05-09,4.3,495,Rendah
2025-05-10,9.23,496,Rendah
2025-05-11,46.99,497,Sedang
2025-05-12,7.06,498,Rendah
2025-05-13,11.87,499,Rendah
2025-05-14,7.29,500,Rendah
2025-05-15,5.11,501,Rendah
2025-05-16,7.78,502,Rendah
2025-05-17,0.8,503,Rendah
2025-05-18,4.73,504,Rendah
2025-05-19,0.97,505,Rendah
2025-05-20,1.23,506,Rendah
2025-05-21,8.02,507,Rendah
2025-05-22,9.08,508,Rendah
2025-05-23,7.02,509,Rendah
